Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
GN3,NO,19/02/2012 00:00,42.10000,ug m-3,R
GN3,NO,20/02/2012 00:00,,ug m-3,R
GN3,NO,21/02/2012 00:00,,ug m-3,R
GN3,NO,22/02/2012 00:00,11.20000,ug m-3,R
GN3,NO,23/02/2012 00:00,27.50000,ug m-3,R
GN3,NO,24/02/2012 00:00,23.40000,ug m-3,R
GN3,NO,25/02/2012 00:00,15.00000,ug m-3,R
GN3,NO,26/02/2012 00:00,27.10000,ug m-3,R
GN3,NO,27/02/2012 00:00,27.70000,ug m-3,R
GN3,NO,28/02/2012 00:00,47.80000,ug m-3,R
GN3,NO,29/02/2012 00:00,40.20000,ug m-3,R
GN3,NO,01/03/2012 00:00,59.20000,ug m-3,R
GN3,NO,02/03/2012 00:00,45.40000,ug m-3,R
GN3,NO,03/03/2012 00:00,22.10000,ug m-3,R
GN3,NO,04/03/2012 00:00,13.30000,ug m-3,R
GN3,NO,05/03/2012 00:00,7.80000,ug m-3,R
GN3,NO,06/03/2012 00:00,25.70000,ug m-3,R
GN3,NO,07/03/2012 00:00,19.80000,ug m-3,R
GN3,NO,08/03/2012 00:00,41.40000,ug m-3,R
GN3,NO,09/03/2012 00:00,24.30000,ug m-3,R
GN3,NO,10/03/2012 00:00,29.00000,ug m-3,R
GN3,NO,11/03/2012 00:00,53.80000,ug m-3,R
GN3,NO,12/03/2012 00:00,67.50000,ug m-3,R
GN3,NO,13/03/2012 00:00,19.50000,ug m-3,R
GN3,NO,14/03/2012 00:00,36.80000,ug m-3,R
GN3,NO,15/03/2012 00:00,65.60000,ug m-3,R
GN3,NO,16/03/2012 00:00,21.00000,ug m-3,R
GN3,NO,17/03/2012 00:00,18.20000,ug m-3,R
GN3,NO,18/03/2012 00:00,12.70000,ug m-3,R
GN3,NO,19/03/2012 00:00,52.30000,ug m-3,R
GN3,NO,20/03/2012 00:00,60.20000,ug m-3,R
GN3,NO,21/03/2012 00:00,23.80000,ug m-3,R
GN3,NO,22/03/2012 00:00,35.60000,ug m-3,R
GN3,NO,23/03/2012 00:00,62.70000,ug m-3,R
